source,name,partner_name,region,address,phone,email,website,facebook,instagram,logo_url,down_payment,annual_rate,term,min_loan_amount,max_loan_amount,latitude,longitude
BirBank,Draft Construction,Draft Construction MMC,,"Bakı ş, Azadlıq prosp. 55",0774112211,,draft.az,,,https://ipoteka.birbank.az/api/files/0dbb7154-9d1a-4552-9f58-7edfe0f1ae0f.png,30.0,16.5,20,20000.0,500000.0,40.3816,49.846245
BirBank,Elit Park,Dərnəgül MTK,,"Bakı şəh., Yasamal ray., Kamal Rəhimov., ev 15., m 76",0514230505,,www.elitpark.az,www.facebook.com/elitpark.az,www.instagram.com/elitpark_/,https://ipoteka.birbank.az/api/files/temp,30.0,5.0,20,20000.0,500000.0,40.424713,49.855457
BirBank,Effektparkcom,Effekt İnşaat MTK,,"Bakı şəh., Nərimanov rayonu",0555501555,,www.effektpark.com,www.facebook.com/effektpark.az,www.instagram.com/effektparkcom,https://ipoteka.birbank.az/api/files/temp,20.0,16.5,20,30000.0,500000.0,40.39405,49.861103
BirBank,Etibarlı Residence,Etibarlı MTK,,"Bakı şəh., Qaraçuxur qəs., Əhməd Mehbalıyev 34/36",0553630000,,,,,https://ipoteka.birbank.az/api/files/2605125a-c078-4524-87cf-d31718d5e89e.PNG,30.0,16.5,20,30000.0,500000.0,40.39782,49.973038
BirBank,Baku City Residence Koroğlu,Factor Group S,,,0507501121,,koroglu.bcr.az,www.facebook.com/bakucityresidence/?modal=admin_todo_tour,www.instagram.com/baku_city_residence/,https://ipoteka.birbank.az/api/files/temp,,,,,,,
BirBank,Fərhad-7,Fərhad-7 MTK,,"Bakı şəh., Binəqədi ray., 9-cu MKR, 3169-cu məhəllə",0502289444,,,,,https://ipoteka.birbank.az/api/files/241f53dd-4561-4aa6-9773-645ef6876c68.jpg,30.0,16.5,20,20000.0,500000.0,40.422535,49.812782
BirBank,Gold Construction Xətai Filialı,Gold Construction MMC-nin Xətai filialı,,"Bakı şəhəri, Xətai rayonu, Ayaz İsmayılov küçəsi 35",0503880012,,goldconstruction.az/,,goldconstruction.az/,https://ipoteka.birbank.az/api/files/d720d966-6fa5-4ebc-a17b-a55c9b8553ba.jpg,30.0,16.5,20,30000.0,500000.0,40.385,49.87255
BirBank,Hüseynoğlu Residence,Hüseynoğlu Residence MTK,,"Bakı şəh., Binəqədi ray., 8 MKR, İbrahimpaşa Dadaşov 70A",0504446010,,www.huseynogluresidence.az,https://www.facebook.com/huseynogluresidence,https://www.instagram.com/huseynoglu_residence/?hl=tr,https://ipoteka.birbank.az/api/files/242f4844-1c9e-40b5-8990-b15bee4a129f.jpg,30.0,16.5,20,20000.0,500000.0,40.41925,49.843052
BirBank,Kristal AA İnşaat MTK,Kristal AA İnşaat MTK,,"Xırdalan şəhəri, Məmməd Əmin Rəsulzadə küçəsi 21",0508542444,,,,,https://ipoteka.birbank.az/api/files/03bd70b4-ba49-4ce0-b8d6-ebc395cd2213.png,30.0,5.0,20,30000.0,500000.0,,
BirBank,LUX  RESİDENCE,LUX RESİDENCE MMC,,"Yasamal ray. Ələsgər Ələkbərov, Mikayıl Müşfiq, Seyfəddin Dağlı, İsmayıl bəy Qutqaşınlı küç. kəsişməsi.",0508090088,,,,,https://ipoteka.birbank.az/api/files/3c8a2be5-8cf8-4122-8f0a-810c26bbb88b.jpg,30.0,16.5,20,20000.0,500000.0,40.367176,49.821007
BirBank,Lake City,Lake City MTK,,"Bakı şəh., Ziya Bünyadov  2036",0555060505,,,,,https://ipoteka.birbank.az/api/files/5e3a12c5-e04d-4ff2-bf38-1dc093b8c8ef.png,20.0,16.5,20,20000.0,500000.0,40.413555,49.85762
BirBank,Lider MTK,Lider MTK,,Sumqayıt şəh. 6 cı mkr.,0553403819,,,,,https://ipoteka.birbank.az/api/files/temp,20.0,5.0,20,20000.0,500000.0,,
BirBank,Grand Narimanoff,Lider-N MTK,,Fəxrəddin Əsədov küçəsi,0997959993,,,,,https://ipoteka.birbank.az/api/files/temp,30.0,16.5,20,30000.0,500000.0,40.39387,49.85807
BirBank,"Bakı şəhəri., Binəqədi ray., 7-ci mkr., A.Kunanbayev küç. 135a",MODERN PARK MTK,,"Bakı şəh., Binəqədi ray., 7-ci mkr., Abay Kunanbayev küç., 135A",0506005533,,modernpark.az,,,https://ipoteka.birbank.az/api/files/d2b3ef0a-fa5d-4c12-9d01-ae8653b44843.jpg,30.0,16.5,20,20000.0,500000.0,40.435013,49.85451
BirBank,Ləhiş Bağları,MP Qrup MMC,,"Bakı dairəvi yol, Nardaran qəs., 36-ci dalan.",0502612121,,,,,https://ipoteka.birbank.az/api/files/90a0773c-153e-455f-bd15-dd8c0263241d.jpg,30.0,16.5,20,30000.0,500000.0,40.566536,49.933384
BirBank,Makro Park,Makro İnşaat MTK,,,0553414488,,www.makroinshaat.az,www.facebook.com/MacroInsaatMTK/,www.instagram.com/makroinshaat/,https://ipoteka.birbank.az/api/files/temp,,,,,,,
BirBank,Yaşam Boulevard Residence,Mənzərə Ş MMC,,Qurban Abbasov küçəsi 42,0997113300,,,,,https://ipoteka.birbank.az/api/files/e25b8856-dd74-4854-9d10-dce5ba3c9c97.jpeg,15.0,16.5,20,20000.0,500000.0,40.34229,49.83968
BirBank,Mərtəbələr,Mərtəbələr MMC,,"Nərimanov ray, Həsənoğlu 4",0123110250,,baku.etagi.com,,,https://ipoteka.birbank.az/api/files/d4cacb6c-9df1-44b8-bbe1-44454f3ad991.jpg,15.0,16.5,20,20000.0,500000.0,40.397667,49.86986
BirBank,ParkTown Residence,PARKTOUN MTK,,"Bakı ş., Yasamal r, T.Şahbazi  küç ev.99",0504250505,,,,,https://ipoteka.birbank.az/api/files/temp,30.0,5.0,20,20000.0,500000.0,40.38323,49.820305
BirBank,Park Avenue Residence,Park Avenue MTK,,"Ağ Şəhər, Qarabağ Atları Meydanı",0555050066,,www.parkavenue.az,www.facebook.com/parkavenue2019/,www.instagram.com/parkavenueresidence/,https://ipoteka.birbank.az/api/files/5adc21dd-1136-47f6-a027-523d2184e101.jpg,30.0,5.0,20,20000.0,500000.0,40.388443,49.892006
BirBank,Pilot Reisdence,Pilot Hayat MTK,,,0508890088,,pilothayat.az,www.facebook.com/pilothayatresidence/,www.instagram.com/pilothayat.residence/,https://ipoteka.birbank.az/api/files/temp,,,,,,,
BirBank,East Park,Poleks MTK,,,0502778833,,eastpark.az,www.facebook.com/eastpark.az/,www.instagram.com/eastpark.az/,https://ipoteka.birbank.az/api/files/temp,,,,,,,
BirBank,Majestic Palace,Prestij-V MTK,,"Bakı şəhəri, Ağ şəhər",0505006003,,,www.facebook.com/majesticgroup.az/,www.instagram.com/majesticgroup.az/,https://ipoteka.birbank.az/api/files/temp,30.0,5.0,20,20000.0,500000.0,40.386215,49.89042
BirBank,Prohome MMC,Prohome MMC,,"Bakı şəh., Səbail ray., Badamdar qəs.",0503447700,,,,,https://ipoteka.birbank.az/api/files/283a479a-3c56-46c7-9812-534ca2687b0d.jpg,15.0,5.0,20,20000.0,500000.0,,
BirBank,Azadlığ Bağçalı Evlər,Qaranti-İnşaat-2012 MMC,,,0502976464,,garantigroup.com.az/project/2,www.facebook.com/GarantiGroup.az/,www.instagram.com/garantigroup.az/,https://ipoteka.birbank.az/api/files/temp,,,,,,,
BirBank,RR Constructions MMC,RR Constructions MMC,,"Bakı şəhəri, Nərimanov r-nu, Mayakovski 8/9-10",0502725500,,rrconstructions.az/,rrconstructions.az/,rrconstructions.az/,https://ipoteka.birbank.az/api/files/a7ec844b-f309-4d29-afcb-02b0eb44dbcb.PNG,30.0,5.0,20,30000.0,500000.0,,
BirBank,Real Əmlak,Real Əmlak Daşınmaz Agentliyi,,"Mikayıl Müşviq küç. bina10, mən.1",0503943323,,,,,https://ipoteka.birbank.az/api/files/9cb6a316-acde-45c8-bfbf-da4d719b8832.jpg,30.0,5.0,20,30000.0,500000.0,40.365234,49.81969
BirBank,Reca MMC,Reca MMC,,Yasamal rayonu Həsən bəy Zərdabi prospekti 55/64 / Əsəd Əhmədov küçəsi 22 / Əhmədli metrosu RSD Plaza,0553469696,,,,,https://ipoteka.birbank.az/api/files/14936ac0-9dc2-4c00-9c19-97f5713158dd.png,30.0,5.0,20,30000.0,500000.0,40.387913,49.807487
BirBank,Red Baku,Red Baku MMC,,"Bakı şəh., Yasamal ray., Cəfər Cabbarlı küç., Caspian Plaza",0102504030,,www.redbaku.az,,,https://ipoteka.birbank.az/api/files/08d1e49d-f3a5-4ffa-8976-139d961042b2.jpg,15.0,5.0,20,20000.0,500000.0,40.385372,49.828682
BirBank,Bağüstü Park Yaşayış Kompleksi,SABAH TİKİNTİ MMC,,"BAKI ŞƏH,SABUNÇU RAYONU,BAKIXANOV QƏS,BAĞÜSTÜ KÜÇ,3 Q SAYLI SAHƏ",0702190111,,,,,https://ipoteka.birbank.az/api/files/a3f897e2-0836-4548-9130-181cda1dcb7f.PNG,30.0,5.0,20,30000.0,500000.0,40.41414,49.950233
BirBank,Şəms Residence,SHAMS RESİDENCE (Ana Kür MTK),,"Bakı ş., Suraxanı r., Yeni Günəşli qəs., D yaşayış massivi",0555254425,,,https://www.facebook.com/Shamsresidence,https://www.instagram.com/shams.residence,https://ipoteka.birbank.az/api/files/5ab36a06-9027-46e9-ab21-bf96fe6b5e07.PNG,30.0,5.0,20,30000.0,500000.0,40.375195,49.97791
BirBank,Servispalace Residence,Servis MTK,,"Bakı şəh., Ceyhun Hacıbəyli 14",0502494808,,,,www.instagram.com/servispalace.az/,https://ipoteka.birbank.az/api/files/947d3f78-50ba-4d48-9e62-08d9cdaff343.PNG,30.0,5.0,20,20000.0,500000.0,40.38838,49.846832
BirBank,Əmlak Agentliyi,TAP Əmlak agentliyi,,"Bakı şəh., Yasamal ray., Ələsgər Ələklbərov küç., 507",0559661282,,,,,https://ipoteka.birbank.az/api/files/39865fb0-d4a2-41f2-ae49-144b6a2d5e43.png,15.0,5.0,20,20000.0,500000.0,40.37036,49.817978
BirBank,Turan+T.T yaşayış binası,TURAN+T.T. MTK,,"Bakı şəhəri, Binəqədi rayonu, Məsud Davudoğlu küçəsi 32",0505009090,,,,,https://ipoteka.birbank.az/api/files/b3059c67-dbe2-46ed-8a31-f20d263b37c9.jpg,30.0,5.0,20,20000.0,500000.0,40.421913,49.836197
BirBank,Rieltor,Vip House,,Bakı ş.Nəsimi r-nu D.Əliyeva küç.243,0555557179,,,,,https://ipoteka.birbank.az/api/files/dee619bc-0645-470e-9b57-42d64a8f6ff0.png,20.0,5.0,20,30000.0,500000.0,40.38003,49.85327
BirBank,Vətən-2022,Vətən 2022 MMC,,"Bakı şəh., Suraxanı ray., Yeni Günəşli qəs., S.Cəfərov küç. ilə Mərkəzi küç.-in kəsişməsi",0554415050,,,,,https://ipoteka.birbank.az/api/files/f799b59c-59cd-4be1-bb32-728ad544c95c.jpg,15.0,5.0,20,20000.0,500000.0,40.380154,49.97821
BirBank,28 Residence,Winter City Group,,"Bakı şəh., Mirəli Qaşqay və Sahib Zeynalov küçələrinin kəsişməsi",0502711155,,,,,https://ipoteka.birbank.az/api/files/0eef0d27-0064-4c1a-ab13-045318984cc9.jpg,30.0,5.0,20,20000.0,500000.0,40.38393,49.846878
BirBank,Malibo,Winter City Group,,"Bakı şəh., Mirəli Qaşqay və Sahib Zeynalov küçələrinin kəsişməsi",0502711155,,,,,https://ipoteka.birbank.az/api/files/6c2a2c0b-8606-423e-acd2-4ee7259e2921.png,30.0,5.0,20,20000.0,500000.0,40.3795,49.836464
BirBank,Grand Plaza,Winter City Group,,"Bakı şəh., Mirəli Qaşqay və Sahib Zeynalov küçələrinin kəsişməsi",0502711155,,,,,https://ipoteka.birbank.az/api/files/ab7a6ab9-2902-4b15-a37d-fb8e8d22a340.png,30.0,5.0,20,20000.0,500000.0,40.392883,49.839233
BirBank,Xəmsə Palace,Xəmsə Palace 2021 MTK,,"Bakı şəhəri, Binəqədi rayonu, Süleyman Sani Axundov küçəsi",0515555065,,,Xemse Palace,xemsepalace,https://ipoteka.birbank.az/api/files/f610ecb9-be84-4d28-81a3-bbe95cae6c12.jpeg,30.0,5.0,20,20000.0,500000.0,40.43067,49.842655
BirBank,Belvedere Residence,Yasamal M MMC,,,0552400073,,,,,https://ipoteka.birbank.az/api/files/temp,,,,,,,
BirBank,İnci Residence,İB.İN.M-İNŞAAT MTK,,"Bakı şəh., Suraxanı ray., Yeni Günəşli qəsəbəsi, “V” yaşayış sahəsi, bina 12E",0507547414,,,,,https://ipoteka.birbank.az/api/files/temp,30.0,5.0,20,30000.0,500000.0,40.37989,49.98243
BirBank,Daşınmaz əmlak agentliyi,İPOTEKA GROUP MMC,,"Bakı şəhəri, Füzuli 49, SKS Plaza",0554444147,,,,,https://ipoteka.birbank.az/api/files/2d666451-a9bc-4db5-bea2-f353760837e9.png,30.0,5.0,20,30000.0,500000.0,40.377735,49.838562
BirBank,Khatai residence,İnter MMC,,"Bakı şəh., Xətai ray., Xocalı pr., 1181-ci məhəllə (Xətai m/s ilə üzbəüz)",0502188288,,,,,https://ipoteka.birbank.az/api/files/1e8fdd67-3c3a-495a-8e47-817d51170760.PNG,30.0,5.0,20,30000.0,500000.0,40.382263,49.873215
BirBank,Şahsaray Yaşayış Kompleksi,Şahsaray Yaşayış Kompleksi,,"Kəpəz rayonu, Ü.Hacıbəyov küçəsi ilə Ş.İ.Xətai prospektinin kəsişməsi",0505179080,,,shahsaray.residence,shahsaray.yk/,https://ipoteka.birbank.az/api/files/temp,30.0,5.0,20,30000.0,500000.0,40.698257,46.373882
